ProductType;RuleName;ESAProductType
S3_SR_1_CONCAX;S3_AX;SR_1_CONCAX
S3_SR_1_CONMAX;S3_AX;SR_1_CONMAX
S3_SR_1_SRA_A_;S3_SR;SR_1_SRA_A_
S3_SR_1_SRA_BS;S3_SR;SR_1_SRA_BS
S3_SR_1_SRA___;S3_SR;SR_1_SRA___
S3_SR_1_USO_AX;S3_AX;SR_1_USO_AX
S3_SR_2_CCT_AX;S3_AX;SR_2_CCT_AX
S3_SR_2_CON_AX;S3_AX;SR_2_CON_AX
S3_SR_2_IC01AX;S3_AX;SR_2_IC01AX
S3_SR_2_IC02AX;S3_AX;SR_2_IC02AX
S3_SR_2_IC03AX;S3_AX;SR_2_IC03AX
S3_SR_2_IC04AX;S3_AX;SR_2_IC04AX
S3_SR_2_IC05AX;S3_AX;SR_2_IC05AX
S3_SR_2_IC06AX;S3_AX;SR_2_IC06AX
S3_SR_2_IC07AX;S3_AX;SR_2_IC07AX
S3_SR_2_IC08AX;S3_AX;SR_2_IC08AX
S3_SR_2_IC09AX;S3_AX;SR_2_IC09AX
S3_SR_2_IC10AX;S3_AX;SR_2_IC10AX
S3_SR_2_LAN___;S3_SR;SR_2_LAN___
S3_SR_2_PCPPAX;S3_AX;SR_2_PCPPAX
S3_SR_2_PMPPAX;S3_AX;SR_2_PMPPAX
S3_SR_2_PMPSAX;S3_AX;SR_2_PMPSAX
S3_SR_2_RGI_AX;S3_AX;SR_2_RGI_AX
S3_SR_2_SSBLAX;S3_AX;SR_2_SSBLAX
S3_SR_2_SSBSAX;S3_AX;SR_2_SSBSAX
S3_SR___CHDNAX;S3_AX;SR___CHDNAX
S3_SR___CHDRAX;S3_AX;SR___CHDRAX
S3_SR___MDO_AX;S3_AX;SR___MDO_AX
S3_SR___MGNPAX;S3_AX;SR___MGNPAX
S3_SR___MGNSAX;S3_AX;SR___MGNSAX
S3_SR___POEPAX;S3_AX;SR___POEPAX
S3_SR___POESAX;S3_AX;SR___POESAX
S3_SY_1_GCPBAX;S3_AX;SY_1_GCPBAX
S3_SY_1_MISR__;S3_SY;SY_1_MISR__
S3_SY_1_PCP_AX;S3_AX;SY_1_PCP_AX
S3_SY_2_PCPSAX;S3_AX;SY_2_PCPSAX
S3_SY_2_PCP_AX;S3_AX;SY_2_PCP_AX
S3_SY_2_RADPAX;S3_AX;SY_2_RADPAX
S3_SY_2_RADSAX;S3_AX;SY_2_RADSAX
S3_SY_2_RAD_AX;S3_AX;SY_2_RAD_AX
S3_SY_2_SPCPAX;S3_AX;SY_2_SPCPAX
S3_SY_2_SYN___;S3_SY;SY_2_SYN___
S3_SY_2_V10___;S3_SY;SY_2_V10___
